Date,Open,High,Low,Close
30-05-2020,9438.914063,9704.030273,9366.729492,9700.414063
31-05-2020,9700.105469,9700.34375,9432.296875,9461.058594
01-06-2020,9463.605469,10199.56543,9450.899414,10167.26856
02-06-2020,10162.97363,10182.34082,9460.571289,9529.803711
03-06-2020,9533.760742,9682.859375,9471.84668,9656.717773
04-06-2020,9655.854492,9887.610352,9525.24707,9800.636719
05-06-2020,9800.21582,9869.237305,9663.216797,9665.533203
06-06-2020,9664.904297,9773.431641,9591.024414,9653.679688
07-06-2020,9653.00293,9768.498047,9458.150391,9758.852539
08-06-2020,9760.063477,9782.306641,9675.885742,9771.489258
09-06-2020,9774.360352,9836.369141,9664.719727,9795.700195
10-06-2020,9794.119141,9908.896484,9728.291016,9870.094727
11-06-2020,9870.078125,9938.297852,9263.069336,9321.78125
12-06-2020,9320.69043,9540.46582,9285.851563,9480.84375
13-06-2020,9480.735352,9493.211914,9396.009766,9475.277344
14-06-2020,9477.553711,9482.270508,9347.59375,9386.788086
15-06-2020,9386.035156,9504.860352,8990.175781,9450.702148
16-06-2020,9454.266602,9579.430664,9400.445313,9538.024414
17-06-2020,9533.78418,9540.422852,9327.339844,9480.254883
18-06-2020,9481.567383,9482.782227,9328.395508,9411.84082
19-06-2020,9410.293945,9440.875977,9274.295898,9288.018555
20-06-2020,9290.959961,9394.97168,9247.379883,9332.34082
21-06-2020,9330.926758,9401.107422,9300.430664,9303.629883
22-06-2020,9300.915039,9655.073242,9296.87207,9648.717773
23-06-2020,9644.076172,9670.541016,9547.24707,9629.658203
24-06-2020,9632.149414,9680.367188,9278.233398,9313.610352
25-06-2020,9314.126953,9340.161133,9095.324219,9264.813477
26-06-2020,9260.995117,9310.516602,9101.738281,9162.917969
27-06-2020,9167.824219,9207.810547,8998.216797,9045.390625
28-06-2020,9048.460938,9197.546875,8975.525391,9143.582031
29-06-2020,9140.029297,9237.573242,9041.875977,9190.854492
30-06-2020,9185.581055,9217.835938,9084.837891,9137.993164
01-07-2020,9145.985352,9309.754883,9104.735352,9228.325195
02-07-2020,9231.139648,9274.962891,9036.623047,9123.410156
03-07-2020,9124.842773,9202.344727,9058.794922,9087.303711
04-07-2020,9084.233398,9183.295898,9053.629883,9132.488281
05-07-2020,9126.09082,9162.183594,8977.015625,9073.942383
06-07-2020,9072.849609,9375.474609,9058.664063,9375.474609
07-07-2020,9349.161133,9360.617188,9201.81543,9252.277344
08-07-2020,9253.020508,9450.335938,9249.5,9428.333008
09-07-2020,9427.994141,9431.378906,9234.999023,9277.967773
10-07-2020,9273.357422,9287.47168,9118.001953,9278.807617
11-07-2020,9277.511719,9293.532227,9199.485352,9240.34668
12-07-2020,9241.054688,9319.418945,9197.450195,9276.5
13-07-2020,9277.205078,9306.405273,9224.292969,9243.614258
14-07-2020,9238.703125,9283.841797,9171.661133,9243.213867
15-07-2020,9241.897461,9275.325195,9171.933594,9192.836914
16-07-2020,9191.980469,9214.3125,9088.947266,9132.227539
17-07-2020,9131.8125,9182.253906,9089.202148,9151.392578
18-07-2020,9151.183594,9230.983398,9100.824219,9159.040039
19-07-2020,9158.005859,9201.398438,9097.632813,9185.817383
20-07-2020,9187.220703,9214.270508,9137.509766,9164.231445
21-07-2020,9162.514648,9407.262695,9149.389648,9374.887695
22-07-2020,9375.080078,9530.518555,9319.65332,9525.363281
23-07-2020,9527.141602,9610.24707,9483.003906,9581.072266
24-07-2020,9585.514648,9623.336914,9481.454102,9536.892578
25-07-2020,9539.485352,9704.556641,9530.211914,9677.113281
26-07-2020,9680.234375,10023.80762,9652.847656,9905.166992
27-07-2020,9905.217773,11298.22168,9903.969727,10990.87305
28-07-2020,11017.46387,11204.32715,10632.63184,10912.82324
29-07-2020,10912.95313,11304.39746,10856.1416,11100.46777
30-07-2020,11099.83301,11169.35645,10895.45508,11111.21387
31-07-2020,11110.21094,11415.86426,10987.05371,11323.4668
01-08-2020,11322.57031,11794.77539,11239.68262,11759.59277
02-08-2020,11758.76465,12034.14453,11018.12988,11053.61426
03-08-2020,11043.76856,11453.0791,11012.41504,11246.34863
04-08-2020,11246.20313,11385.38184,11094.14551,11205.89258
05-08-2020,11203.82324,11786.61719,11158.28516,11747.02246
06-08-2020,11749.87109,11902.33594,11598.71387,11779.77344
07-08-2020,11778.89453,11898.03809,11408.59375,11601.47266
08-08-2020,11604.55371,11800.06445,11558.43164,11754.0459
09-08-2020,11737.3252,11806.05664,11548.78418,11675.73926
10-08-2020,11662.25684,12045.14063,11662.25684,11878.11133
11-08-2020,11881.64746,11932.71094,11195.70898,11410.52539
12-08-2020,11404.59668,11748.39648,11249.60547,11584.93457
13-08-2020,11588.40527,11796.39648,11216.87207,11784.1377
14-08-2020,11772.65918,12150.99414,11685.45508,11768.87109
15-08-2020,11768.69727,11963.20313,11768.69727,11865.69824
16-08-2020,11866.68555,11934.90137,11737.18848,11892.80371
17-08-2020,11895.6582,12359.05664,11806.69629,12254.40234
18-08-2020,12251.89551,12335.70703,11954.52539,11991.2334
19-08-2020,11990.88477,12028.92383,11687.33301,11758.2832
20-08-2020,11761.5,11900.41113,11710.06348,11878.37207
21-08-2020,11878.02637,11899.25977,11564.97949,11592.48926
22-08-2020,11585.47754,11689.40723,11448.80566,11681.8252
23-08-2020,11679.69629,11713.42969,11559.9209,11664.84766
24-08-2020,11663.68945,11807.63184,11623.25,11774.5957
25-08-2020,11773.58887,11778.29981,11189.85059,11366.13477
26-08-2020,11366.89453,11530.05273,11296.99316,11488.36328
27-08-2020,11485.6084,11570.78613,11185.94141,11323.39746
28-08-2020,11325.2959,11545.61523,11316.42285,11542.5
29-08-2020,11541.05469,11585.64063,11466.29297,11506.86523
30-08-2020,11508.71387,11715.26465,11492.38184,11711.50586
31-08-2020,11713.30664,11768.87695,11598.31836,11680.82031
01-09-2020,11679.31641,12067.08106,11601.12891,11970.47852
02-09-2020,11964.82324,11964.82324,11290.79395,11414.03418
03-09-2020,11407.19141,11443.02246,10182.46484,10245.29688
04-09-2020,10230.36523,10663.91992,10207.94043,10511.81348
05-09-2020,10512.53027,10581.57129,9946.675781,10169.56738
06-09-2020,10167.2168,10353.92773,10056.88574,10280.35156
07-09-2020,10280.99805,10399.15332,9916.493164,10369.56348
08-09-2020,10369.30664,10414.77539,9945.110352,10131.5166
09-09-2020,10134.15137,10350.54297,10017.25098,10242.34766
10-09-2020,10242.33008,10503.91211,10238.13574,10363.13867
11-09-2020,10369.02832,10434.92285,10140.83691,10400.91504
12-09-2020,10409.86133,10578.83789,10292.38672,10442.1709
13-09-2020,10452.39941,10577.21484,10224.33008,10323.75586
14-09-2020,10328.73438,10800.01074,10266.00879,10680.83789
15-09-2020,10677.75488,10938.63184,10656.45996,10796.95117
16-09-2020,10797.76172,11100.12402,10704.88477,10974.90527
17-09-2020,10973.25195,11037.4209,10774.62793,10948.99023
18-09-2020,10951.82031,11034.9082,10829.65723,10944.58594
